idmembers37,affiliation,nationH,nationG,cityH,cityG,role
1,"Azores Meteorological Service",Portugal-Azores,Portugal,"Angra do Heroismo",Angra,Member
4,"Swedish Hydrographical and Meteorological Service",Sweden,Sweden,Stockholm,Stockholm,Member
6,"Agronomy Department, University of Perugia",Italy,Italy,Perugia,Perugia,Member
9,"Central Meteorological Bureau of Latvia",Latvia,Latvia,Riga,Riga,Member
11,"Agronomy Institute Gembloux",Belgium,Belgium,Gembloux,Gembloux,Member
12,"University of Debrecen, Meteorological Institute",Hungary,Hungary,Debrecen,Debrecen,Member
13,"Uruguayan Meteorological Service",Uruguay,Uruguay,Montevideo,Montevideo,Member
20,"Royal Dutch Meteorological Institute","The Netherlands","The Netherlands","de Bilt","de Bilt",President
22,"French Meteorological Service",France,France,Paris,Paris,Member
25,"General Inspectorate for Agriculture of the French Indochina",France-Indochina,Vietnam,Hanoi,Hanoi,Member
26,"Central Experimental Station for Agricultural Physics and Climatology",France,France,Montpellier,Montpellier,Member
28,"Danish Meteorological Service",Denmark,Denmark,Copenhagen,Copenhagen,Member
30,NULL,France,France,"Denée, Maine-et-Loire",Denée,Member
33,"State Meteorological Service",Germany,Germany,Berlin,Berlin,Member
36,"Forecasting Service, Italian Air Ministry",Italy,Italy,Rome,Rome,Member
40,"Brazilian Meteorological Service",Brazil,Brazil,"Rio de Janeiro","Rio de Janeiro",Member
44,"Kompolt Agricultural Station",Hungary,Hungary,Kompolt,Kompolt,Member
46,"Catalan Meteorological Service",Spain,Spain,Barcelona,Barcelona,Member
48,"Forestry Academy",Germany,Germany,Eberswalde,Eberswalde,Secretary
49,"French National Institute for Agronomy Research",France,France,Versaillles,Versaillles,Member
52,"French National Institute for Agronomy Research",France,France,Versaillles,Versaillles,Member
55,"Polish Meteorological Institute",Poland,Poland,Warsaw,Warsaw,Member
57,"Climatology Bureau of the Danish Meteorological Service",Denmark,Denmark,Copenhagen,Copenhagen,Member
60,"Norwegian Meteorological Service",Norway,Norway,Oslo,Oslo,Member
62,"Forestry Experimental Station",Japan,Japan,Tokyo,Tokyo,Member
65,"Central Service for Colonial Meteorology, French Ministry of Colonies",France,France,Paris,Paris,Member
67,"Rothamsted Experimental Station","Great Britain","Great Britain",Harpenden,Harpenden,Member
68,"Finnish Meteorological Service",Finland,Finland,Helsinki,Helsinki,Member
69,"State Meteorological Service, Research Unit on Agricultural Meteorology",Germany,Germany,Trier,Trier,Member
70,"US Weather Bureau, Climate and Crop Weather Division","United States","United States",Washington,Washington,Member
71,"Bulgarian Meteorological Service",Bulgaria,Bulgaria,Sofia,Sofia,Member
72,"State Meteorological Service",Germany,Germany,Berlin,Berlin,Member
73,"Geophysics Observatory of the Far East",Russia-USSR,Russia,Vladivostock,Vladivostock,Member
74,"Finnish Meteorological Service",Finland,Finland,Helsinki,Helsinki,Member
78,"Polish Meteorological Institute",Poland,Poland,Warsaw,Warsaw,Member
79,"Greek National Observatory",Greece,Greece,Athens,Athens,Member
81,"Finnish Meteorological Service",Finland,Finland,Helsinki,Helsinki,Member
82,"Swiss Meteorological Service",Switzerland,Switzerland,Zurich,Zurich,Member
84,"Irish Meteorological Service",Ireland,Ireland,Dublin,Dublin,Member
85,"Indian Meteorological Department","Great Britain-India",India,Poona,Pune,Member
87,"Japan Central Meteorological Observatory",Japan,Japan,Tokyo,Tokyo,Member
89,"Canadian Meteorological Service",Canada,Canada,Toronto,Toronto,Member
93,"French National Institute for Colonial Agriculture",France,France,Nogent-sur-Marne,Nogent-sur-Marne,Member
95,"Indian Meteorological Department - Agricultural Meteorology Section","Great Britain-India",India,Poona,Pune,Member
96,"Hungarian Meteorological Service",Hungary,Hungary,Budapest,Budapest,Member
97,"French Agronomy Research Institute",France,France,Paris,Paris,Member
103,"French Meteorological Service",France,France,Paris,Paris,Member
105,"Central Observatory for Meteorology and Geodynamics",Austria,Austria,Vienna,Vienna,Member
106,"Moroccan Inspectorate for Agriculture",France-Morocco,Morocco,Rabat,Rabat,Member
109,"Forestry Academy",Germany,Germany,Eberswalde,Eberswalde,Member
114,"British Meteorological Office","Great Britain","Great Britain",London,London,Member
119,"Ukranian Meteorological and Hydrological Office",Russia-USSR,Ukraine,Kiev,Kiev,Member
120,"South African Meteorological Institute","South Africa","South Africa",Pretoria,Pretoria,Member
124,"Geography Department, University of Toronto",Canada,Canada,Toronto,Toronto,Member
127,"British East African Meteorological Service","Great Britain-Kenya",Kenya,Nairobi,Nairobi,Member
128,"French Meteorological Service",France,France,Paris,Paris,Member
