idmembers29,affiliation,nationH,nationG,cityH,cityG,role
2,"Svalöf Plant Breeding Institute",Sweden,Sweden,Svalöf,Svalöv,Member
6,"Agronomy Institute",Italy,Italy,Perugia,Perugia,Member
8,"Colombo Observatory","Great Britain-Ceylon","Sri Lanka",Colombo,Colombo,Member
9,"Central Meteorological Bureau of Latvia",Latvia,Latvia,Riga,Riga,Member
10,"Dominion Meteorological Office","New Zealand","New Zealand",Wellington,Wellington,Member
14,"Ksara Observatory",France-Syria,Lebanon,Ksara,Ksara,Member
20,"Royal Dutch Meteorological Institute","The Netherlands","The Netherlands","de Bilt","de Bilt",Member
25,"Climatology and Agricultural Meteorology Bureau, Indochina Central Observatory",France-Indochina,Vietnam,"Phu Lien","Phu Lien",Member
27,"Canadian Meteorological Service",Canada,Canada,Toronto,Toronto,Member
28,"Danish Meteorological Service",Denmark,Denmark,Copenhagen,Copenhagen,Member
30,"French Meteorological Service",France,France,Paris,Paris,Member
31,"Institute for Geosciences",France,France,Paris,Paris,Member
32,"International Institute of Agriculture",Italy,Italy,Rome,Rome,Member
36,"Italian Central Office of Meteorology and Geodynamics",Italy,Italy,Rome,Rome,Member
40,"Brazilian Meteorological Service",Brazil,Brazil,"Rio de Janeiro","Rio de Janeiro",Member
41,"Portuguese Agronomy Institute",Portugal,Portugal,Lisbon,Lisbon,Member
43,"Rothamsted Experimental Station","Great Britain","Great Britain",Harpenden,Harpenden,Member
46,"Catalan Meteorological Service",Spain,Spain,Barcelona,Barcelona,Member
47,"National Association of Agricultural Insurances",Spain,Spain,Madrid,Madrid,Member
48,"Bavarian Meteorological Service",Germany,Germany,Munich,Munich,Member
51,"National University of Buenos Aires",Argentina,Argentina,"Buenos Aires","Buenos Aires",Member
53,"Portuguese Agronomy Institute",Portugal,Portugal,Lisbon,Lisbon,Member
56,"Bergen Museum",Norway,Norway,Bergen,Bergen,Member
57,"Climatology Bureau of the Danish Meteorological Service",Denmark,Denmark,Copenhagen,Copenhagen,Member
60,"Norwegian Meteorological Service",Norway,Norway,Oslo,Oslo,Member
62,"Forestry Experimental Station",Japan,Japan,Tokyo,Tokyo,Member
63,"Agronomy Institute, University of Halle",Germany,Germany,Halle,Halle,Member
64,"British Ministry of Agriculture and Fisheries","Great Britain","Great Britain",London,London,Member
68,"Finnish Meteorological Service",Finland,Finland,Helsinki,Helsinki,Member
70,"US Weather Bureau, Climate and Crop Weather Division","United States","United States",Washington,Washington,Member
71,"Bulgarian Meteorological Service",Bulgaria,Bulgaria,Sofia,Sofia,Member
72,"Prussian Meteorological Institute",Germany,Germany,Berlin,Berlin,Member
73,"Geophysics Observatory of the Far East",Russia-USSR,Russia,Vladivostock,Vladivostock,Member
74,"Finnish Meteorological Service",Finland,Finland,Helsinki,Helsinki,Member
80,"Puy-de-Dôme Observatory",France,France,Clermont-Ferrand,Clermont-Ferrand,Member
81,"Finnish Meteorological Service",Finland,Finland,Helsinki,Helsinki,Member
82,"University of Lausanne and Meteorological Service, Canton of Vaud",Switzerland,Switzerland,Lausanne,Lausanne,Member
85,"Indian Meteorological Department","Great Britain-India",India,Poona,Pune,Member
86,"Chilean Meteorological Office",Chile,Chile,"Santiago de Chile","Santiago de Chile",Member
87,"Japan Central Meteorological Observatory",Japan,Japan,Tokyo,Tokyo,Member
89,"Canadian Meteorological Service",Canada,Canada,Toronto,Toronto,Member
97,"French Agronomy Research Institute",France,France,Paris,Paris,Member
102,"Spanish Meteorological Service",Spain,Spain,Madrid,Madrid,Member
103,"French Meteorological Service",France,France,Paris,Paris,Member
107,"Academy for Natural Resources",Austria,Austria,Vienna,Vienna,Secretary
108,"Central Geophysical Observatory",Russia-USSR,Russia,Leningrad,"St Petersburg",Member
109,"Forestry Academy",Germany,Germany,Eberswalde,Eberswalde,Member
112,NULL,"Great Britain","Great Britain",London,London,Member
113,"Dominion Experimental Farm",Canada,Canada,Ottawa,Ottawa,Member
114,"British Meteorological Office","Great Britain","Great Britain",London,London,Member
119,"Ukranian Meteorological and Hydrological Office",Russia-USSR,Ukraine,Kiev,Kiev,Member
120,"South African Meteorological Institute","South Africa","South Africa",Pretoria,Pretoria,Member
124,"Geography Department, University of Sydney",Australia,Australia,Sydney,Sydney,Member
126,"Swedish Hydrographical and Meteorological Service",Sweden,Sweden,Stockholm,Stockholm,Member
127,"British East African Meteorological Service","Great Britain-Kenya",Kenya,Nairobi,Nairobi,Member
128,"French Meteorological Service",France,France,Paris,Paris,Member
129,"French National Agronomy Institute",France,France,Paris,Paris,Member
130,"W. C. Scholten Laboratory, University of Utrecht","The Netherlands","The Netherlands",Baarn,Baarn,Member
